Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.870000,-120.930000,0.000000,bottom
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.870000,-123.940000,0.000000,bottom
"C3","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.870000,-126.950000,0.000000,bottom
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.870000,-129.960000,0.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.870000,-132.970000,0.000000,bottom
"C6","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.870000,-135.980000,0.000000,bottom
"C7","33uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.870000,-138.990000,0.000000,bottom
"C9","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.587500,-129.000000,180.000000,bottom
"C10","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.587500,-132.010000,180.000000,bottom
"C11","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.587500,-135.020000,180.000000,bottom
"C15","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",121.650000,-139.050000,0.000000,bottom
"C16","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",121.562500,-135.800000,0.000000,bottom
"C17","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",121.550000,-132.550000,0.000000,bottom
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.020000,-76.380000,0.000000,bottom
"C20","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.020000,-79.390000,0.000000,bottom
"C21","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.020000,-82.400000,0.000000,bottom
"C22","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.020000,-85.410000,0.000000,bottom
"C23","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.350000,-83.600000,0.000000,bottom
"C24","12pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.700000,-95.300000,90.000000,bottom
"C25","12pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.710000,-95.300000,90.000000,bottom
"C26","12pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.720000,-95.300000,90.000000,bottom
"C27","12pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.730000,-95.300000,90.000000,bottom
"C31","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.112500,-80.650000,0.000000,bottom
"C40","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.970000,-101.330000,0.000000,bottom
"C41","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.970000,-104.340000,0.000000,bottom
"C42","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.970000,-107.350000,0.000000,bottom
"D1","MBR1020VL","D_SOD-123F",114.050000,-114.050000,0.000000,bottom
"D2","MBR1020VL","D_SOD-123F",131.200000,-129.200000,180.000000,bottom
"D3","MBR1020VL","D_SOD-123F",126.000000,-139.050000,0.000000,bottom
"D4","MBR1020VL","D_SOD-123F",114.100000,-117.800000,0.000000,bottom
"D5","MBR1020VL","D_SOD-123F",125.950000,-135.500000,0.000000,bottom
"D6","MBR1020VL","D_SOD-123F",131.250000,-132.500000,180.000000,bottom
"J3","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_Amphenol_12401548E4-2A",126.450000,-78.800000,0.000000,bottom
"R1","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.750000,-126.950000,0.000000,bottom
"R2","5.6Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.750000,-129.900000,0.000000,bottom
"R4","100kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",114.000000,-110.600000,0.000000,bottom
"R5","100kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.650000,-138.150000,180.000000,bottom
"R6","5.1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",114.300000,-80.600000,0.000000,bottom
